budget,seed,model,n_train,val_accuracy,accuracy,macro_f1,fit_seconds,predict_seconds
10,42,word,770,0.649,0.6818181818181818,0.6762551090734275,0.07024920300136728,0.033820596001532977
10,42,char,770,0.6995,0.7191558441558441,0.7121617290634841,0.18009632699977374,0.15047993499865697
10,42,combined,770,0.714,0.7363636363636363,0.7306660232529908,0.22910974099977466,0.17896238600042125
10,43,word,770,0.6375,0.6681818181818182,0.6642964448810184,0.07215775600161578,0.03561208999963128
10,43,char,770,0.6945,0.7305194805194806,0.7261054336632968,0.1861522099989088,0.16116141800011974
10,43,combined,770,0.692,0.7334415584415584,0.7292197308958079,0.22671538600116037,0.2318721680003364
10,44,word,770,0.628,0.6655844155844156,0.6579753927623371,0.06843762700009393,0.03877959399869724
10,44,char,770,0.691,0.711038961038961,0.704988765148606,0.17143895200024417,0.14735019599902444
10,44,combined,770,0.6965,0.7214285714285714,0.7156174971582605,0.2472943339998892,0.19279965799978527
30,42,word,2308,0.7845,0.8012987012987013,0.799757874952731,0.19064675600020564,0.037952160000713775
30,42,char,2308,0.8085,0.8327922077922078,0.8311444191421855,0.5310502519987494,0.14776560700011032
30,42,combined,2308,0.8245,0.8425324675324676,0.8411371613411123,0.6489355649991921,0.1894208490011806
30,43,word,2308,0.776,0.8058441558441558,0.8040236139676937,0.17742572799943446,0.0381488029997854
30,43,char,2308,0.8055,0.8383116883116883,0.8367378024645572,0.49415941599909274,0.14793391099919972
30,43,combined,2308,0.8105,0.8454545454545455,0.8437912937011204,0.6560759950007196,0.18850449200181174
30,44,word,2308,0.7785,0.8084415584415584,0.806171518252701,0.1739424709994637,0.040032249000432785
30,44,char,2308,0.816,0.8350649350649351,0.8334948108898588,0.4958230310003273,0.15796001499984413
30,44,combined,2308,0.82,0.8496753246753247,0.8483925543463561,0.6467494879998412,0.1985721189994365
60,42,word,4537,0.833,0.8584415584415584,0.8578286412056816,0.36248889600028633,0.04976313699989987
60,42,char,4537,0.857,0.8766233766233766,0.8759168804244304,0.901320430000851,0.1606403509995289
60,42,combined,4537,0.8645,0.8853896103896104,0.884688205844142,1.2020881199987343,0.19454942300035327
60,43,word,4537,0.846,0.8512987012987013,0.8503929227935157,0.3796453159993689,0.05815518700001121
60,43,char,4537,0.861,0.8808441558441559,0.8802798871427403,0.9440461899994261,0.17632942899945192
60,43,combined,4537,0.8705,0.8883116883116883,0.8880622649465971,1.3268329420006921,0.24861853000038536
60,44,word,4537,0.8425,0.8623376623376623,0.8616847425716704,0.4131939250000869,0.03792591099954734
60,44,char,4537,0.8575,0.8821428571428571,0.8817632015403675,0.9798089529995195,0.15602767600103107
60,44,combined,4537,0.864,0.888961038961039,0.8885951676651266,1.2420214470002975,0.20020545799889078
pool,42,word,7999,0.8725,0.8811688311688312,0.881199614286204,0.7689896589999989,0.041710145998877124
pool,42,char,7999,0.885,0.8990259740259741,0.8986753991300886,1.881108645000495,0.1599835200013331
pool,42,combined,7999,0.8925,0.9090909090909091,0.9091742811554513,2.4341040200015414,0.23774137399959727
